Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.5799332506233645,1.387635387435104,0.3875922784171672,0.47010817992028847
2,1.3123332758453234,1.2637277739517616,0.5032784630198542,0.5183146707155057
3,1.1870978923399778,1.2088638777985716,0.5522032188546013,0.5342569747580186
4,1.091406563204055,1.2016379367673036,0.592049154018983,0.5376731827671285
5,1.0140426943291667,1.1822211534687967,0.6212114264753084,0.5526665401404441
6,0.9377714707092806,1.1706469959381856,0.6495483515979641,0.5627253748339344
7,0.8654729196927414,1.1420131572494001,0.6781603924985098,0.5805655722148415
8,0.7995328475390712,1.1491996357838312,0.7058095281764409,0.5727842095274246
9,0.7294866873219041,1.168877618917913,0.731532853409143,0.5813247295501993
10,0.6665444990122947,1.2566563138907605,0.7598697785317988,0.5623457961662555
11,0.6108406100782656,1.245957399295135,0.7799073776881104,0.5703169481875119
12,0.5412768181358789,1.3917409885533605,0.8041175661424182,0.5779085215410894
13,0.4881414949314947,1.337319883162325,0.8303452703012518,0.594230404251281
14,0.43644842532493416,1.4668432779610157,0.8461644275299188,0.5498197001328525
15,0.39287416631344957,1.361936411013206,0.8642303636113531,0.5936610362497627
16,0.3422681567644225,1.5259256382783255,0.8790407629877574,0.5725944201935851
17,0.3118780559936642,1.5723171685455424,0.8902288046219451,0.5773391535395711
18,0.28138683599288794,1.5371329113163732,0.9003163831445733,0.5978364015942303
19,0.2504076280192775,1.671637044688969,0.9127882984089137,0.5984057695957488
20,0.21708248051660425,1.6086086385629395,0.9274152872667247,0.5892958815714557
21,0.19517073611171692,1.6975248014159274,0.9333302764913568,0.5805655722148415
22,0.18680350232017268,1.6889231979564736,0.9367233710853318,0.595938508255836
23,0.16056533095418665,1.6543698935684832,0.945481223348159,0.5991649269311065
24,0.14889944034602623,1.8792142576340474,0.9490577284607272,0.5762004175365344
25,0.1394820030248803,1.9285997757970383,0.9535512861662616,0.6042892389447713
26,0.12661207411567957,1.8983885036837873,0.9581365491310927,0.5853103055608275
27,0.11446940383059741,1.8748016639471505,0.9618047595029575,0.5917631429113683
28,0.11164050711072364,1.9976406435312872,0.9653812646155256,0.586828620231543
29,0.1279062283776026,1.958361578077981,0.9564858544637534,0.5855000948946669
30,0.09319182309669256,2.0595557873334847,0.9710211380622679,0.5930916682482444
31,0.08810440033324397,1.9192940794947473,0.9718006327662891,0.603719870943253
32,0.07530265029724974,2.0175939086711767,0.975468843138154,0.5923325109128867
33,0.07343608988387526,2.08618771408995,0.9764776009904168,0.594230404251281
34,0.06812964079945445,2.049139584488038,0.9778531798798661,0.5955589295881571
35,0.06233515588434285,2.147012950635205,0.9796872850657985,0.5963180869235148
36,0.05985532530471747,2.0698759395996054,0.9805584850291165,0.5984057695957488
37,0.054700799216774496,2.132498142574773,0.9825301481039938,0.5887265135699373
38,0.06719709392108707,2.1259169198431525,0.9773029483240864,0.5938508255836022
39,0.06380697889895318,2.116274077699266,0.9790912008803705,0.5877775669007402
40,0.05675420645100189,2.116424047546179,0.9808794534366546,0.5989751375972671
